Plan de estudios,Nivel de Estudios,Tipo Especial,Año Academico,Número de Matrículas,Nº Matriculados,Nº Aprobados,Rendimiento,Aprobados en 1ª Mat,Matriculados por 1ª vez,Rendimiento en 1ª Mat,Aprobados en 2ª Mat,Matriculados por 2ª vez,Rendimiento en 2ª Mat,Aprobados en 3ª Mat,Matriculados por 3ª vez o más,Rendimiento en 3ª Mat,Eficiencia en matrícula,Codigo+Centro,Asignatura,Tipo Asignatura,Curso,Tipo Convalidación
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,1,33,32,"96,969696969697",32,33,"96,969696969697",,,,,,,"96,969696969697",61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000095                      - INGENIERÍA WEB: VISIÓN GENERAL,OBLIGATORIA,1,ACTAS
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,1,33,31,"93,9393939393939",31,33,"93,9393939393939",,,,,,,"93,9393939393939",61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000096                      - ARQUITECTURA Y PATRONES PARA APLICACIONES WEB,OBLIGATORIA,1,ACTAS
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,1,33,31,"93,9393939393939",31,33,"93,9393939393939",,,,,,,"93,9393939393939",61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000097                      - FRONT-END PARA MÓVILES,OBLIGATORIA,1,ACTAS
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,1,33,31,"93,9393939393939",31,33,"93,9393939393939",,,,,,,"93,9393939393939",61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000098                      - FRONT-END PARA NAVEGADORES WEB,OBLIGATORIA,1,ACTAS
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,1,33,32,"96,969696969697",32,33,"96,969696969697",,,,,,,"96,969696969697",61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000099                      - BACK-END CON TECNOLOGÍAS DE LIBRE DISTRIBUCIÓN,OBLIGATORIA,1,ACTAS
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,1,34,33,"97,0588235294118",33,34,"97,0588235294118",,,,,,,"97,0588235294118",61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000100                      - SEGURIDAD EN APLICACIONES WEB,OBLIGATORIA,1,ACTAS
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,1,34,32,"94,1176470588235",32,34,"94,1176470588235",,,,,,,"94,1176470588235",61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000101                      - BACK-END CON TECNOLOGÍAS PROPIETARIAS,OBLIGATORIA,1,ACTAS
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,1,33,30,"90,9090909090909",30,33,"90,9090909090909",,,,,,,"90,9090909090909",61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000102                      - BACK-END CON TECNOLOGÍAS DE CÓDIGO ABIERTO,OBLIGATORIA,1,ACTAS
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,1,34,31,"91,1764705882353",31,34,"91,1764705882353",,,,,,,"91,1764705882353",61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000103                      - METODOLOGÍAS DE DESARROLLO WEB,OBLIGATORIA,1,ACTAS
61AF - MASTER UNIVERSITARIO EN INGENIERIA WEB,MÁSTER UNIVERSITARIO OFICIAL,PLAN_ORDINARIO,2023-24,2,1,0,0,,,,0,1,0,,,,0,61 - E.T.S DE ING. DE SISTEMAS INFORMÁTICOS,613000099                      - BACK-END CON TECNOLOGÍAS DE LIBRE DISTRIBUCIÓN,OBLIGATORIA,1,ACTAS
